age,region,history,action,discount,converted,reward
28,2,0,3,0.2,1,50.0
52,3,1,3,0.2,0,0.0
47,2,1,2,0.1,0,0.0
28,2,0,1,0.05,0,0.0
41,3,1,2,0.1,1,60.0
36,3,1,1,0.05,0,0.0
22,0,1,0,0.0,0,0.0
20,2,0,0,0.0,0,0.0
31,3,0,3,0.2,0,0.0
59,2,0,2,0.1,0,0.0
46,3,1,0,0.0,1,70.0
31,0,1,3,0.2,1,50.0
34,1,0,0,0.0,1,70.0
53,1,0,3,0.2,1,50.0
23,3,0,2,0.1,0,0.0
28,3,1,1,0.05,0,0.0
53,3,0,1,0.05,0,0.0
28,0,1,0,0.0,0,0.0
44,0,1,0,0.0,0,0.0
45,1,1,3,0.2,1,50.0
45,3,0,1,0.05,0,0.0
52,2,0,3,0.2,1,50.0
52,0,0,1,0.05,0,0.0
47,1,1,2,0.1,1,60.0
38,2,1,3,0.2,1,50.0
54,3,0,3,0.2,1,50.0
39,0,0,1,0.05,1,65.0
60,2,0,2,0.1,1,60.0
40,1,1,2,0.1,1,60.0
40,2,1,3,0.2,1,50.0
60,0,0,0,0.0,0,0.0
23,3,0,0,0.0,0,0.0
34,3,1,0,0.0,0,0.0
53,1,1,3,0.2,1,50.0
21,3,0,2,0.1,0,0.0
57,1,0,1,0.05,0,0.0
22,1,0,3,0.2,0,0.0
60,2,1,3,0.2,1,50.0
59,3,0,2,0.1,0,0.0
43,0,1,2,0.1,0,0.0
50,0,1,2,0.1,1,60.0
49,3,0,3,0.2,1,50.0
48,2,1,3,0.2,1,50.0
34,2,1,0,0.0,1,70.0
36,0,0,2,0.1,0,0.0
48,3,1,1,0.05,0,0.0
25,1,1,1,0.05,0,0.0
29,1,0,2,0.1,1,60.0
34,0,1,3,0.2,1,50.0
35,3,0,2,0.1,1,60.0
27,3,1,3,0.2,1,50.0
35,1,0,0,0.0,1,70.0
51,1,0,2,0.1,1,60.0
44,3,0,3,0.2,0,0.0
22,2,0,0,0.0,1,70.0
46,0,0,2,0.1,1,60.0
28,0,0,3,0.2,1,50.0
34,0,0,3,0.2,1,50.0
50,3,1,2,0.1,1,60.0
20,1,1,3,0.2,0,0.0
50,3,1,1,0.05,1,65.0
36,0,1,3,0.2,0,0.0
35,3,1,3,0.2,1,50.0
48,0,0,3,0.2,1,50.0
29,1,1,0,0.0,0,0.0
31,0,0,1,0.05,0,0.0
38,3,1,3,0.2,1,50.0
35,0,0,3,0.2,1,50.0
43,1,1,0,0.0,0,0.0
44,0,0,2,0.1,0,0.0
59,3,1,3,0.2,1,50.0
45,1,0,0,0.0,0,0.0
31,3,1,1,0.05,0,0.0
22,2,0,2,0.1,1,60.0
21,0,1,0,0.0,0,0.0
31,0,0,2,0.1,1,60.0
30,1,1,3,0.2,1,50.0
40,0,1,3,0.2,1,50.0
50,2,0,3,0.2,1,50.0
58,3,0,0,0.0,0,0.0
43,1,1,3,0.2,0,0.0
43,3,0,1,0.05,0,0.0
56,1,1,2,0.1,0,0.0
22,2,0,2,0.1,0,0.0
20,3,0,0,0.0,0,0.0
28,3,1,3,0.2,1,50.0
39,2,1,2,0.1,1,60.0
46,3,0,0,0.0,0,0.0
48,3,1,2,0.1,0,0.0
35,2,1,2,0.1,1,60.0
59,0,1,0,0.0,0,0.0
20,0,1,2,0.1,0,0.0
34,1,1,3,0.2,1,50.0
49,3,0,1,0.05,1,65.0
35,1,0,2,0.1,0,0.0
20,0,1,3,0.2,1,50.0
35,3,0,1,0.05,1,65.0
43,3,0,0,0.0,0,0.0
29,1,1,0,0.0,0,0.0
42,2,1,3,0.2,0,0.0
41,3,1,0,0.0,0,0.0
44,1,1,0,0.0,0,0.0
53,1,0,2,0.1,1,60.0
56,0,0,2,0.1,1,60.0
29,0,0,2,0.1,0,0.0
49,3,1,3,0.2,1,50.0
57,3,1,0,0.0,0,0.0
37,2,0,1,0.05,0,0.0
58,2,0,0,0.0,0,0.0
26,1,0,3,0.2,1,50.0
53,3,1,2,0.1,0,0.0
36,1,1,0,0.0,0,0.0
32,1,1,2,0.1,0,0.0
35,3,1,3,0.2,1,50.0
27,1,1,2,0.1,1,60.0
31,2,1,3,0.2,1,50.0
38,1,0,0,0.0,0,0.0
24,0,0,1,0.05,0,0.0
45,2,1,2,0.1,1,60.0
29,2,1,0,0.0,1,70.0
59,1,0,3,0.2,1,50.0
49,1,1,3,0.2,1,50.0
39,3,0,1,0.05,0,0.0
24,1,0,3,0.2,1,50.0
42,0,0,3,0.2,1,50.0
34,3,1,3,0.2,1,50.0
53,2,1,0,0.0,0,0.0
36,1,0,1,0.05,1,65.0
30,1,1,1,0.05,0,0.0
45,2,1,1,0.05,0,0.0
58,2,1,3,0.2,0,0.0
56,3,1,2,0.1,0,0.0
51,0,0,2,0.1,0,0.0
27,0,0,2,0.1,1,60.0
46,2,0,2,0.1,0,0.0
30,1,1,2,0.1,0,0.0
23,1,1,2,0.1,0,0.0
30,2,1,2,0.1,1,60.0
38,1,1,1,0.05,0,0.0
59,1,1,1,0.05,0,0.0
56,2,0,2,0.1,0,0.0
55,2,1,2,0.1,1,60.0
25,0,0,2,0.1,1,60.0
60,2,1,1,0.05,0,0.0
40,3,1,2,0.1,1,60.0
41,0,0,2,0.1,1,60.0
47,0,1,2,0.1,1,60.0
52,3,0,1,0.05,0,0.0
42,0,0,3,0.2,1,50.0
37,2,1,1,0.05,1,65.0
58,3,0,1,0.05,0,0.0
46,0,0,2,0.1,1,60.0
22,0,0,2,0.1,0,0.0
24,1,1,1,0.05,0,0.0
33,2,0,3,0.2,1,50.0
31,2,1,0,0.0,0,0.0
25,3,1,2,0.1,1,60.0
56,3,1,2,0.1,0,0.0
40,2,0,0,0.0,0,0.0
47,0,1,1,0.05,1,65.0
59,3,1,3,0.2,1,50.0
36,1,0,3,0.2,0,0.0
33,2,1,1,0.05,1,65.0
24,1,0,0,0.0,1,70.0
54,3,1,1,0.05,1,65.0
51,0,0,1,0.05,0,0.0
58,1,1,3,0.2,1,50.0
31,0,1,3,0.2,1,50.0
49,0,0,0,0.0,0,0.0
21,0,1,1,0.05,1,65.0
54,1,0,1,0.05,0,0.0
36,1,0,0,0.0,0,0.0
30,1,0,3,0.2,1,50.0
49,3,1,3,0.2,0,0.0
49,1,0,0,0.0,1,70.0
29,0,1,0,0.0,0,0.0
42,1,1,1,0.05,0,0.0
41,3,1,3,0.2,0,0.0
43,3,1,2,0.1,0,0.0
41,2,0,3,0.2,1,50.0
59,2,1,1,0.05,1,65.0
26,2,0,0,0.0,1,70.0
48,3,0,0,0.0,0,0.0
57,3,0,2,0.1,1,60.0
58,1,1,1,0.05,0,0.0
40,0,0,2,0.1,1,60.0
59,3,1,1,0.05,0,0.0
49,2,1,0,0.0,0,0.0
47,3,1,1,0.05,0,0.0
32,0,1,3,0.2,0,0.0
26,3,0,1,0.05,0,0.0
26,0,0,0,0.0,0,0.0
35,0,0,0,0.0,0,0.0
32,1,0,1,0.05,0,0.0
39,3,0,0,0.0,1,70.0
46,1,1,3,0.2,1,50.0
59,3,1,2,0.1,1,60.0
50,1,0,2,0.1,1,60.0
28,1,0,2,0.1,1,60.0
44,3,0,2,0.1,0,0.0
41,2,1,1,0.05,0,0.0
41,3,0,0,0.0,0,0.0
37,1,1,3,0.2,1,50.0
44,3,0,2,0.1,0,0.0
48,0,1,0,0.0,0,0.0
46,0,0,3,0.2,1,50.0
51,1,1,3,0.2,1,50.0
58,0,0,3,0.2,0,0.0
41,3,1,2,0.1,0,0.0
22,3,1,0,0.0,0,0.0
59,3,1,0,0.0,1,70.0
35,0,0,0,0.0,1,70.0
45,2,1,0,0.0,0,0.0
49,3,1,0,0.0,0,0.0
57,2,0,0,0.0,0,0.0
30,1,1,0,0.0,0,0.0
29,1,0,2,0.1,0,0.0
40,3,0,3,0.2,1,50.0
31,1,0,3,0.2,0,0.0
21,3,1,1,0.05,1,65.0
55,3,1,2,0.1,0,0.0
38,2,1,0,0.0,0,0.0
20,0,0,0,0.0,0,0.0
44,3,1,3,0.2,0,0.0
35,1,1,2,0.1,0,0.0
43,3,0,0,0.0,0,0.0
30,2,0,0,0.0,0,0.0
53,1,0,3,0.2,0,0.0
22,1,1,2,0.1,1,60.0
32,0,0,2,0.1,1,60.0
47,2,1,0,0.0,0,0.0
43,3,1,3,0.2,1,50.0
56,2,1,0,0.0,0,0.0
44,0,0,3,0.2,1,50.0
30,0,1,0,0.0,1,70.0
48,2,1,3,0.2,0,0.0
32,2,0,1,0.05,0,0.0
45,1,0,3,0.2,0,0.0
56,2,1,3,0.2,1,50.0
34,0,1,1,0.05,0,0.0
50,0,0,1,0.05,1,65.0
52,2,0,1,0.05,0,0.0
41,3,0,2,0.1,1,60.0
36,3,0,3,0.2,1,50.0
26,1,1,3,0.2,0,0.0
20,2,0,0,0.0,0,0.0
41,1,1,1,0.05,0,0.0
28,0,1,2,0.1,0,0.0
21,1,0,1,0.05,1,65.0
60,0,0,3,0.2,1,50.0
32,2,0,0,0.0,1,70.0
34,2,0,0,0.0,0,0.0
60,3,0,2,0.1,1,60.0
21,3,1,1,0.05,0,0.0
33,3,0,0,0.0,1,70.0
38,2,1,2,0.1,0,0.0
42,2,1,1,0.05,0,0.0
55,0,1,3,0.2,1,50.0
45,2,1,0,0.0,0,0.0
30,0,1,2,0.1,0,0.0
47,3,1,3,0.2,0,0.0
23,3,1,1,0.05,0,0.0
33,3,0,3,0.2,1,50.0
55,1,0,0,0.0,0,0.0
23,0,1,1,0.05,0,0.0
49,3,1,3,0.2,1,50.0
38,2,1,1,0.05,0,0.0
35,0,1,1,0.05,0,0.0
60,3,1,1,0.05,0,0.0
45,1,1,2,0.1,1,60.0
56,2,1,0,0.0,0,0.0
38,3,0,0,0.0,0,0.0
38,2,0,1,0.05,0,0.0
45,3,0,0,0.0,0,0.0
57,3,1,2,0.1,1,60.0
59,1,1,0,0.0,0,0.0
49,3,0,3,0.2,1,50.0
58,2,0,0,0.0,1,70.0
46,1,1,1,0.05,0,0.0
22,2,1,2,0.1,0,0.0
28,0,1,0,0.0,0,0.0
47,2,0,0,0.0,0,0.0
51,1,1,3,0.2,1,50.0
39,2,0,3,0.2,0,0.0
20,0,1,0,0.0,0,0.0
32,2,1,0,0.0,0,0.0
24,1,0,0,0.0,0,0.0
22,1,0,2,0.1,0,0.0
47,2,1,0,0.0,0,0.0
60,2,1,3,0.2,1,50.0
22,1,0,1,0.05,0,0.0
37,3,1,2,0.1,0,0.0
41,3,1,3,0.2,1,50.0
33,1,0,0,0.0,0,0.0
44,1,1,0,0.0,1,70.0
41,0,1,2,0.1,1,60.0
55,1,0,3,0.2,1,50.0
46,3,1,1,0.05,0,0.0
30,1,0,0,0.0,0,0.0
54,3,1,3,0.2,1,50.0
36,0,1,3,0.2,1,50.0
25,0,0,2,0.1,0,0.0
42,3,1,3,0.2,1,50.0
45,0,1,2,0.1,0,0.0
40,0,0,3,0.2,0,0.0
47,0,1,1,0.05,0,0.0
60,1,1,0,0.0,0,0.0
48,0,1,2,0.1,1,60.0
39,1,0,1,0.05,0,0.0
22,3,0,1,0.05,1,65.0
32,1,1,1,0.05,0,0.0
25,1,1,0,0.0,1,70.0
50,1,1,1,0.05,0,0.0
53,1,1,3,0.2,1,50.0
41,2,1,2,0.1,0,0.0
37,0,1,1,0.05,1,65.0
50,2,1,0,0.0,0,0.0
24,2,0,1,0.05,1,65.0
22,3,1,2,0.1,1,60.0
20,1,0,0,0.0,0,0.0
44,2,1,2,0.1,0,0.0
57,2,1,2,0.1,0,0.0
45,2,1,2,0.1,1,60.0
36,2,0,0,0.0,0,0.0
47,2,1,1,0.05,1,65.0
33,2,1,1,0.05,1,65.0
52,0,0,1,0.05,0,0.0
39,2,0,3,0.2,1,50.0
38,2,1,1,0.05,0,0.0
39,3,1,0,0.0,0,0.0
29,1,1,0,0.0,0,0.0
25,0,1,1,0.05,1,65.0
47,3,1,1,0.05,0,0.0
54,0,1,2,0.1,0,0.0
26,3,0,1,0.05,0,0.0
22,1,0,0,0.0,0,0.0
31,2,1,1,0.05,0,0.0
26,0,1,1,0.05,0,0.0
58,2,1,3,0.2,1,50.0
32,2,0,2,0.1,0,0.0
57,0,1,3,0.2,1,50.0
34,0,0,3,0.2,0,0.0
48,3,0,1,0.05,1,65.0
49,2,0,0,0.0,0,0.0
51,2,1,1,0.05,0,0.0
31,2,1,0,0.0,1,70.0
60,1,1,3,0.2,0,0.0
20,1,1,0,0.0,0,0.0
49,0,1,2,0.1,0,0.0
52,2,0,2,0.1,1,60.0
35,1,1,3,0.2,1,50.0
26,0,1,3,0.2,1,50.0
21,3,1,3,0.2,1,50.0
21,0,0,3,0.2,1,50.0
25,1,1,1,0.05,0,0.0
39,2,0,3,0.2,1,50.0
53,3,0,1,0.05,0,0.0
60,0,0,1,0.05,0,0.0
25,2,0,1,0.05,0,0.0
38,2,1,2,0.1,1,60.0
20,1,0,0,0.0,0,0.0
34,2,1,1,0.05,0,0.0
41,3,1,2,0.1,0,0.0
54,1,1,2,0.1,1,60.0
46,3,1,3,0.2,1,50.0
60,0,1,0,0.0,0,0.0
24,3,1,3,0.2,1,50.0
24,1,0,3,0.2,1,50.0
33,1,1,0,0.0,0,0.0
43,3,1,0,0.0,0,0.0
31,0,1,3,0.2,0,0.0
26,2,0,0,0.0,0,0.0
44,2,1,0,0.0,0,0.0
24,2,0,3,0.2,1,50.0
35,2,1,2,0.1,0,0.0
25,1,0,3,0.2,0,0.0
27,1,1,3,0.2,0,0.0
40,1,1,2,0.1,1,60.0
41,0,1,1,0.05,0,0.0
30,1,0,0,0.0,0,0.0
30,1,0,3,0.2,1,50.0
47,0,1,3,0.2,1,50.0
31,1,1,1,0.05,0,0.0
57,0,1,1,0.05,1,65.0
37,0,1,1,0.05,0,0.0
54,2,0,3,0.2,0,0.0
22,0,1,1,0.05,0,0.0
54,3,1,0,0.0,0,0.0
44,1,1,2,0.1,0,0.0
32,2,1,0,0.0,1,70.0
46,2,1,1,0.05,1,65.0
56,3,1,0,0.0,0,0.0
36,1,1,0,0.0,1,70.0
39,0,1,2,0.1,0,0.0
43,2,1,0,0.0,0,0.0
27,0,0,1,0.05,0,0.0
48,3,1,0,0.0,0,0.0
38,2,0,2,0.1,0,0.0
57,3,0,1,0.05,0,0.0
22,2,0,2,0.1,0,0.0
30,2,0,0,0.0,0,0.0
59,1,1,0,0.0,1,70.0
37,3,1,3,0.2,0,0.0
55,0,1,0,0.0,0,0.0
20,3,0,2,0.1,1,60.0
56,1,0,3,0.2,0,0.0
48,0,0,0,0.0,0,0.0
36,2,1,2,0.1,0,0.0
55,0,0,2,0.1,1,60.0
43,0,0,2,0.1,1,60.0
36,3,0,1,0.05,0,0.0
20,0,1,3,0.2,1,50.0
36,1,1,0,0.0,1,70.0
40,2,1,0,0.0,0,0.0
58,2,1,1,0.05,1,65.0
25,1,0,1,0.05,0,0.0
33,2,1,2,0.1,1,60.0
52,1,1,1,0.05,0,0.0
38,3,0,0,0.0,0,0.0
38,2,1,2,0.1,1,60.0
26,3,1,1,0.05,0,0.0
31,3,1,3,0.2,0,0.0
58,0,0,2,0.1,1,60.0
31,1,0,1,0.05,1,65.0
27,3,0,1,0.05,0,0.0
26,1,0,1,0.05,1,65.0
57,1,0,0,0.0,0,0.0
24,2,1,3,0.2,1,50.0
37,2,0,1,0.05,0,0.0
32,2,1,1,0.05,1,65.0
41,0,1,3,0.2,0,0.0
23,1,1,1,0.05,0,0.0
41,2,0,2,0.1,0,0.0
39,2,1,1,0.05,0,0.0
23,1,1,1,0.05,0,0.0
23,0,1,1,0.05,1,65.0
58,1,1,0,0.0,0,0.0
35,0,0,1,0.05,0,0.0
58,0,0,2,0.1,1,60.0
35,0,0,0,0.0,0,0.0
27,1,1,1,0.05,1,65.0
56,1,0,0,0.0,0,0.0
33,2,1,1,0.05,1,65.0
60,2,0,0,0.0,1,70.0
56,3,0,2,0.1,0,0.0
46,1,0,1,0.05,0,0.0
54,1,1,1,0.05,1,65.0
40,1,0,1,0.05,0,0.0
28,2,1,1,0.05,0,0.0
46,2,0,3,0.2,1,50.0
37,3,1,0,0.0,1,70.0
28,3,0,2,0.1,1,60.0
23,3,1,3,0.2,1,50.0
56,1,0,3,0.2,1,50.0
48,1,0,1,0.05,0,0.0
32,2,0,2,0.1,0,0.0
55,1,1,3,0.2,0,0.0
33,2,0,1,0.05,0,0.0
59,2,1,3,0.2,1,50.0
40,1,0,0,0.0,0,0.0
26,0,1,0,0.0,0,0.0
41,2,1,2,0.1,0,0.0
23,1,0,1,0.05,0,0.0
23,2,0,0,0.0,0,0.0
26,2,1,1,0.05,0,0.0
45,0,1,2,0.1,0,0.0
60,2,1,3,0.2,1,50.0
33,0,1,1,0.05,0,0.0
32,0,1,1,0.05,0,0.0
23,3,1,2,0.1,1,60.0
46,1,1,0,0.0,0,0.0
49,1,0,3,0.2,1,50.0
26,1,0,2,0.1,1,60.0
29,0,1,0,0.0,1,70.0
34,1,0,0,0.0,0,0.0
23,1,0,1,0.05,0,0.0
37,2,1,3,0.2,0,0.0
23,1,1,3,0.2,1,50.0
42,0,1,3,0.2,0,0.0
27,1,0,1,0.05,1,65.0
54,0,0,1,0.05,0,0.0
57,0,1,0,0.0,0,0.0
55,2,0,2,0.1,1,60.0
34,2,1,2,0.1,1,60.0
41,0,1,0,0.0,0,0.0
59,3,0,0,0.0,0,0.0
33,1,0,1,0.05,1,65.0
53,2,0,2,0.1,1,60.0
52,3,1,3,0.2,1,50.0
33,1,0,3,0.2,0,0.0
44,1,0,3,0.2,0,0.0
40,0,1,2,0.1,0,0.0
46,0,0,2,0.1,0,0.0
25,1,1,3,0.2,1,50.0
39,0,0,2,0.1,1,60.0
31,2,0,2,0.1,0,0.0
33,0,0,0,0.0,0,0.0
52,0,1,3,0.2,1,50.0
59,2,0,1,0.05,0,0.0
44,3,1,3,0.2,1,50.0
48,2,1,2,0.1,1,60.0
42,3,0,0,0.0,1,70.0
57,2,0,3,0.2,1,50.0
25,2,0,3,0.2,0,0.0
21,1,0,3,0.2,1,50.0
43,0,1,0,0.0,0,0.0
54,2,1,0,0.0,0,0.0
27,1,1,3,0.2,1,50.0
22,0,0,3,0.2,1,50.0
42,3,0,3,0.2,0,0.0
41,3,0,1,0.05,0,0.0
59,2,1,3,0.2,1,50.0
55,1,0,1,0.05,0,0.0
50,0,0,2,0.1,0,0.0
44,2,1,0,0.0,0,0.0
48,3,0,3,0.2,1,50.0
50,2,1,3,0.2,1,50.0
23,1,1,2,0.1,0,0.0
53,0,0,1,0.05,0,0.0
51,1,1,1,0.05,0,0.0
42,3,0,1,0.05,1,65.0
41,2,0,0,0.0,0,0.0
24,3,0,2,0.1,1,60.0
40,3,1,2,0.1,1,60.0
51,2,0,2,0.1,0,0.0
58,3,1,1,0.05,1,65.0
57,0,0,3,0.2,1,50.0
50,2,1,2,0.1,1,60.0
22,3,0,1,0.05,0,0.0
47,2,1,0,0.0,0,0.0
36,1,0,1,0.05,0,0.0
24,2,1,0,0.0,0,0.0
59,1,1,2,0.1,1,60.0
48,2,0,3,0.2,0,0.0
29,0,0,0,0.0,0,0.0
60,3,1,3,0.2,1,50.0
57,2,1,1,0.05,0,0.0
43,1,0,0,0.0,1,70.0
47,1,0,1,0.05,0,0.0
53,1,0,2,0.1,0,0.0
47,3,0,0,0.0,0,0.0
49,2,1,1,0.05,1,65.0
45,1,1,2,0.1,0,0.0
55,0,0,2,0.1,1,60.0
24,0,1,0,0.0,0,0.0
27,2,0,0,0.0,0,0.0
57,2,0,2,0.1,1,60.0
58,3,1,3,0.2,1,50.0
44,3,0,3,0.2,0,0.0
27,1,0,1,0.05,1,65.0
56,3,1,0,0.0,0,0.0
57,0,1,1,0.05,1,65.0
45,2,0,1,0.05,0,0.0
36,1,0,0,0.0,0,0.0
57,0,1,0,0.0,1,70.0
31,2,0,0,0.0,0,0.0
40,1,0,2,0.1,0,0.0
56,2,0,2,0.1,1,60.0
51,2,0,0,0.0,0,0.0
25,2,1,0,0.0,0,0.0
42,3,0,1,0.05,0,0.0
54,2,0,2,0.1,1,60.0
34,3,1,0,0.0,0,0.0
27,0,1,1,0.05,1,65.0
52,3,0,2,0.1,1,60.0
36,0,1,0,0.0,0,0.0
38,2,0,1,0.05,1,65.0
28,3,1,1,0.05,1,65.0
27,3,1,0,0.0,0,0.0
53,2,0,1,0.05,0,0.0
40,2,1,0,0.0,0,0.0
